MAE_QR,MAE_DL,MAE_MULTI,RMSE_QR,RMSE_DL,RMSE_MULTI,C_LOSS_QR,C_LOSS_DL,C_LOSS_MULTI,CROSSES_QR,CROSSES_DL,CROSSES_MULTI,T_LOSS_QR,T_LOSS_DL,T_LOSS_MULTI,ICP_QR,ICP_DL,ICP_MULTI,MIL_QR,MIL_DL,MIL_MULTI,ICP_QR,ICP_DL,ICP_MULTI,MIL_QR,MIL_DL,MIL_MULTI
0.865,0.414,0.413,1.090,0.516,0.515,0.000,0.004,0.000,0,2,1,0.838,0.426,0.399,0.848,0.804,0.870,3.317,1.637,1.747,0.500,0.457,0.413,1.460,0.752,0.716
0.865,0.422,0.416,1.090,0.521,0.517,0.000,0.004,0.000,0,2,0,0.838,0.426,0.401,0.848,0.804,0.891,3.317,1.637,1.722,0.500,0.478,0.457,1.460,0.759,0.720
0.865,0.419,0.413,1.090,0.518,0.515,0.000,0.004,0.000,0,2,1,0.838,0.418,0.399,0.848,0.804,0.870,3.317,1.660,1.747,0.500,0.457,0.413,1.460,0.744,0.716
0.865,0.411,0.413,1.090,0.512,0.515,0.000,0.004,0.000,0,2,1,0.838,0.421,0.399,0.848,0.804,0.870,3.317,1.660,1.747,0.500,0.457,0.413,1.460,0.746,0.716
0.865,0.425,0.413,1.090,0.523,0.515,0.000,0.004,0.000,0,2,1,0.838,0.423,0.399,0.848,0.804,0.870,3.317,1.637,1.747,0.500,0.457,0.413,1.460,0.744,0.716
0.865,0.420,0.413,1.090,0.519,0.515,0.000,0.004,0.000,0,2,1,0.838,0.426,0.399,0.848,0.804,0.870,3.317,1.637,1.747,0.500,0.478,0.413,1.460,0.765,0.716
0.865,0.419,0.421,1.090,0.519,0.520,0.000,0.004,0.000,0,2,0,0.838,0.427,0.403,0.848,0.804,0.891,3.317,1.637,1.716,0.500,0.478,0.435,1.460,0.759,0.716
0.865,0.438,0.413,1.090,0.532,0.515,0.000,0.004,0.000,0,2,1,0.838,0.423,0.399,0.848,0.804,0.870,3.317,1.637,1.747,0.500,0.457,0.413,1.460,0.750,0.716
0.865,0.423,0.413,1.090,0.521,0.515,0.000,0.001,0.000,0,2,1,0.838,0.419,0.399,0.848,0.826,0.870,3.317,1.650,1.747,0.500,0.457,0.413,1.460,0.745,0.716
0.865,0.434,0.413,1.090,0.529,0.515,0.000,0.004,0.000,0,2,1,0.838,0.417,0.399,0.848,0.804,0.870,3.317,1.660,1.747,0.500,0.457,0.413,1.460,0.750,0.716
