MAE_QR,MAE_DL,MAE_MULTI,RMSE_QR,RMSE_DL,RMSE_MULTI,C_LOSS_QR,C_LOSS_DL,C_LOSS_MULTI,CROSSES_QR,CROSSES_DL,CROSSES_MULTI,T_LOSS_QR,T_LOSS_DL,T_LOSS_MULTI,ICP_QR,ICP_DL,ICP_MULTI,MIL_QR,MIL_DL,MIL_MULTI,ICP_QR,ICP_DL,ICP_MULTI,MIL_QR,MIL_DL,MIL_MULTI,ICP_QR,ICP_DL,ICP_MULTI,MIL_QR,MIL_DL,MIL_MULTI,ICP_QR,ICP_DL,ICP_MULTI,MIL_QR,MIL_DL,MIL_MULTI,ICP_QR,ICP_DL,ICP_MULTI,MIL_QR,MIL_DL,MIL_MULTI,ICP_QR,ICP_DL,ICP_MULTI,MIL_QR,MIL_DL,MIL_MULTI,ICP_QR,ICP_DL,ICP_MULTI,MIL_QR,MIL_DL,MIL_MULTI
2.183,1.826,1.810,3.950,3.574,3.553,0.341,4.679,0.000,15540,299076,0,100.088,78.791,78.793,0.920,0.904,0.934,10.763,8.049,8.225,0.829,0.822,0.847,6.294,5.936,5.896,0.733,0.677,0.754,4.365,4.273,4.605,0.636,0.634,0.654,3.232,3.600,3.656,0.536,0.494,0.553,2.439,2.662,2.895,0.433,0.368,0.446,1.821,1.996,2.227,0.219,0.215,0.228,0.844,1.020,1.076,
2.183,1.865,1.827,3.950,3.589,3.561,0.341,4.259,0.000,15540,284000,0,100.088,78.789,78.799,0.920,0.905,0.927,10.763,8.080,8.037,0.829,0.792,0.836,6.294,5.569,5.769,0.733,0.692,0.743,4.365,4.406,4.509,0.636,0.603,0.643,3.232,3.497,3.590,0.536,0.500,0.537,2.439,2.681,2.820,0.433,0.407,0.433,1.821,2.105,2.177,0.219,0.186,0.219,0.844,0.892,1.043,
2.183,1.853,1.821,3.950,3.591,3.563,0.341,4.604,0.000,15540,297234,0,100.088,78.938,78.975,0.920,0.899,0.936,10.763,7.858,8.351,0.829,0.784,0.852,6.294,5.512,5.993,0.733,0.701,0.759,4.365,4.421,4.659,0.636,0.614,0.662,3.232,3.518,3.701,0.536,0.498,0.562,2.439,2.792,2.924,0.433,0.445,0.456,1.821,2.242,2.254,0.219,0.209,0.231,0.844,1.024,1.069,
2.183,1.862,1.821,3.950,3.586,3.557,0.341,5.005,0.000,15540,323730,0,100.088,78.888,78.919,0.920,0.903,0.936,10.763,7.932,8.233,0.829,0.798,0.850,6.294,5.712,5.898,0.733,0.715,0.757,4.365,4.544,4.602,0.636,0.611,0.659,3.232,3.551,3.656,0.536,0.470,0.555,2.439,2.590,2.887,0.433,0.385,0.451,1.821,2.011,2.235,0.219,0.275,0.232,0.844,1.232,1.080,
2.183,1.880,1.825,3.950,3.595,3.552,0.341,4.858,0.000,15540,322604,0,100.088,78.841,78.739,0.920,0.906,0.926,10.763,7.833,8.171,0.829,0.793,0.833,6.294,5.660,5.853,0.733,0.715,0.738,4.365,4.491,4.558,0.636,0.606,0.633,3.232,3.564,3.592,0.536,0.486,0.535,2.439,2.614,2.848,0.433,0.421,0.432,1.821,2.118,2.189,0.219,0.198,0.219,0.844,1.038,1.048,
2.183,1.829,1.810,3.950,3.574,3.551,0.341,4.676,0.000,15540,296599,0,100.088,78.796,78.715,0.920,0.905,0.936,10.763,7.942,8.277,0.829,0.790,0.852,6.294,5.580,5.958,0.733,0.716,0.759,4.365,4.455,4.639,0.636,0.609,0.660,3.232,3.511,3.690,0.536,0.559,0.557,2.439,2.949,2.915,0.433,0.364,0.450,1.821,1.921,2.247,0.219,0.187,0.229,0.844,0.927,1.071,
2.183,1.832,1.814,3.950,3.575,3.555,0.341,5.053,0.000,15540,332261,0,100.088,78.948,78.765,0.920,0.905,0.930,10.763,8.058,8.119,0.829,0.806,0.843,6.294,5.811,5.862,0.733,0.661,0.750,4.365,4.181,4.575,0.636,0.643,0.649,3.232,3.682,3.621,0.536,0.503,0.547,2.439,2.741,2.862,0.433,0.460,0.441,1.821,2.257,2.204,0.219,0.225,0.221,0.844,1.033,1.039,
2.183,1.839,1.816,3.950,3.582,3.557,0.341,4.346,0.000,15540,293381,0,100.088,78.853,78.906,0.920,0.911,0.937,10.763,7.967,8.401,0.829,0.813,0.853,6.294,5.756,6.048,0.733,0.730,0.763,4.365,4.616,4.719,0.636,0.566,0.663,3.232,3.294,3.736,0.536,0.469,0.558,2.439,2.575,2.937,0.433,0.390,0.450,1.821,2.048,2.243,0.219,0.196,0.227,0.844,0.993,1.072,
2.183,1.864,1.816,3.950,3.591,3.553,0.341,4.601,0.000,15540,316658,0,100.088,78.915,78.732,0.920,0.913,0.932,10.763,8.120,8.140,0.829,0.791,0.844,6.294,5.576,5.816,0.733,0.702,0.746,4.365,4.471,4.503,0.636,0.589,0.645,3.232,3.400,3.578,0.536,0.507,0.543,2.439,2.787,2.821,0.433,0.343,0.440,1.821,1.858,2.173,0.219,0.261,0.222,0.844,1.193,1.034,
2.183,1.845,1.804,3.950,3.581,3.553,0.341,3.726,0.000,15540,248252,0,100.088,78.819,78.740,0.920,0.907,0.930,10.763,7.885,8.136,0.829,0.815,0.843,6.294,5.798,5.843,0.733,0.721,0.750,4.365,4.442,4.562,0.636,0.606,0.653,3.232,3.545,3.631,0.536,0.525,0.550,2.439,2.839,2.864,0.433,0.412,0.445,1.821,2.123,2.202,0.219,0.207,0.225,0.844,1.001,1.049,
2.183,1.865,1.811,3.950,3.585,3.552,0.341,4.345,0.000,15540,282975,0,100.088,78.792,78.783,0.920,0.910,0.932,10.763,8.016,8.149,0.829,0.805,0.848,6.294,5.711,5.883,0.733,0.712,0.754,4.365,4.472,4.582,0.636,0.600,0.653,3.232,3.428,3.632,0.536,0.479,0.552,2.439,2.686,2.872,0.433,0.405,0.447,1.821,2.133,2.216,0.219,0.189,0.228,0.844,0.992,1.061,
2.183,1.838,1.811,3.950,3.582,3.557,0.341,4.438,0.000,15540,302805,0,100.088,78.838,78.696,0.920,0.895,0.925,10.763,7.653,8.007,0.829,0.829,0.834,6.294,5.992,5.761,0.733,0.678,0.738,4.365,4.398,4.478,0.636,0.597,0.638,3.232,3.414,3.555,0.536,0.500,0.536,2.439,2.806,2.809,0.433,0.420,0.430,1.821,2.193,2.160,0.219,0.253,0.217,0.844,1.158,1.025,
