MAE_QR,MAE_DL,MAE_MULTI,RMSE_QR,RMSE_DL,RMSE_MULTI,C_LOSS_QR,C_LOSS_DL,C_LOSS_MULTI,CROSSES_QR,CROSSES_DL,CROSSES_MULTI,T_LOSS_QR,T_LOSS_DL,T_LOSS_MULTI,ICP_QR,ICP_DL,ICP_MULTI,MIL_QR,MIL_DL,MIL_MULTI,ICP_QR,ICP_DL,ICP_MULTI,MIL_QR,MIL_DL,MIL_MULTI,ICP_QR,ICP_DL,ICP_MULTI,MIL_QR,MIL_DL,MIL_MULTI,ICP_QR,ICP_DL,ICP_MULTI,MIL_QR,MIL_DL,MIL_MULTI,ICP_QR,ICP_DL,ICP_MULTI,MIL_QR,MIL_DL,MIL_MULTI
2.183,1.851,1.816,3.950,3.576,3.564,0.328,0.824,0.000,8708,54495,0,70.252,55.279,55.428,0.920,0.903,0.935,10.763,8.089,8.353,0.829,0.794,0.848,6.294,5.613,5.975,0.636,0.609,0.655,3.232,3.508,3.671,0.433,0.406,0.445,1.821,2.123,2.220,0.219,0.183,0.222,0.844,0.922,1.044
2.183,1.843,1.824,3.950,3.583,3.555,0.328,1.303,0.000,8708,84580,0,70.252,55.235,55.409,0.920,0.912,0.928,10.763,8.011,8.084,0.829,0.790,0.840,6.294,5.665,5.805,0.636,0.599,0.645,3.232,3.525,3.594,0.433,0.384,0.437,1.821,2.052,2.179,0.219,0.150,0.217,0.844,0.842,1.029
2.183,1.861,1.815,3.950,3.580,3.559,0.328,1.691,0.000,8708,105935,0,70.252,55.311,55.268,0.920,0.890,0.924,10.763,7.608,8.045,0.829,0.809,0.833,6.294,5.715,5.793,0.636,0.640,0.636,3.232,3.676,3.567,0.433,0.398,0.432,1.821,2.026,2.170,0.219,0.196,0.218,0.844,0.948,1.035
2.183,1.849,1.806,3.950,3.588,3.551,0.328,1.051,0.000,8708,80161,0,70.252,55.242,55.172,0.920,0.899,0.937,10.763,7.894,8.259,0.829,0.820,0.855,6.294,5.836,5.942,0.636,0.592,0.667,3.232,3.449,3.675,0.433,0.432,0.453,1.821,2.169,2.216,0.219,0.219,0.234,0.844,1.003,1.065
2.183,1.856,1.806,3.950,3.583,3.557,0.328,1.112,0.000,8708,79337,0,70.252,55.286,55.242,0.920,0.911,0.930,10.763,8.034,8.066,0.829,0.779,0.843,6.294,5.472,5.811,0.636,0.607,0.652,3.232,3.523,3.598,0.433,0.406,0.442,1.821,2.102,2.183,0.219,0.188,0.221,0.844,0.958,1.033
2.183,1.881,1.807,3.950,3.591,3.557,0.328,1.009,0.000,8708,70849,0,70.252,55.285,55.334,0.920,0.915,0.930,10.763,8.178,8.180,0.829,0.790,0.843,6.294,5.597,5.877,0.636,0.630,0.650,3.232,3.607,3.619,0.433,0.438,0.446,1.821,2.231,2.216,0.219,0.222,0.224,0.844,1.079,1.047
2.183,1.844,1.816,3.950,3.577,3.554,0.328,1.033,0.000,8708,67990,0,70.252,55.279,55.185,0.920,0.914,0.921,10.763,8.078,7.835,0.829,0.797,0.826,6.294,5.646,5.623,0.636,0.595,0.630,3.232,3.468,3.505,0.433,0.421,0.426,1.821,2.138,2.127,0.219,0.187,0.215,0.844,0.939,1.023
2.183,1.855,1.835,3.950,3.585,3.561,0.328,1.400,0.000,8708,99405,0,70.252,55.268,55.428,0.920,0.912,0.928,10.763,8.004,8.037,0.829,0.791,0.839,6.294,5.587,5.791,0.636,0.575,0.642,3.232,3.356,3.579,0.433,0.355,0.435,1.821,1.899,2.170,0.219,0.213,0.224,0.844,1.051,1.046
2.183,1.883,1.809,3.950,3.595,3.560,0.328,1.469,0.000,8708,101393,0,70.252,55.179,55.272,0.920,0.894,0.930,10.763,7.792,8.150,0.829,0.828,0.842,6.294,5.997,5.877,0.636,0.601,0.648,3.232,3.416,3.614,0.433,0.423,0.439,1.821,2.088,2.194,0.219,0.241,0.224,0.844,1.112,1.044
2.183,1.849,1.806,3.950,3.580,3.554,0.328,0.791,0.000,8708,55242,0,70.252,55.158,55.221,0.920,0.908,0.933,10.763,8.243,8.161,0.829,0.790,0.847,6.294,5.659,5.841,0.636,0.639,0.653,3.232,3.698,3.594,0.433,0.432,0.443,1.821,2.171,2.171,0.219,0.184,0.222,0.844,0.929,1.029
