MAE_QR,MAE_DL,MAE_MULTI,RMSE_QR,RMSE_DL,RMSE_MULTI,C_LOSS_QR,C_LOSS_DL,C_LOSS_MULTI,CROSSES_QR,CROSSES_DL,CROSSES_MULTI,T_LOSS_QR,T_LOSS_DL,T_LOSS_MULTI,ICP_QR,ICP_DL,ICP_MULTI,MIL_QR,MIL_DL,MIL_MULTI,ICP_QR,ICP_DL,ICP_MULTI,MIL_QR,MIL_DL,MIL_MULTI,ICP_QR,ICP_DL,ICP_MULTI,MIL_QR,MIL_DL,MIL_MULTI,ICP_QR,ICP_DL,ICP_MULTI,MIL_QR,MIL_DL,MIL_MULTI,ICP_QR,ICP_DL,ICP_MULTI,MIL_QR,MIL_DL,MIL_MULTI
2.183,1.855,1.819,3.950,3.577,3.556,0.328,1.036,0.000,8707,69978,0,70.252,55.196,55.326,0.920,0.918,0.927,10.763,8.136,8.068,0.829,0.797,0.835,6.294,5.669,5.776,0.636,0.622,0.638,3.232,3.540,3.574,0.433,0.428,0.432,1.821,2.177,2.173,0.219,0.260,0.224,0.844,1.171,1.052,
2.183,1.839,1.806,3.950,3.581,3.554,0.328,0.871,0.000,8707,57367,0,70.252,55.221,55.209,0.920,0.915,0.930,10.763,8.135,8.133,0.829,0.783,0.840,6.294,5.532,5.838,0.636,0.617,0.648,3.232,3.527,3.617,0.433,0.426,0.441,1.821,2.159,2.207,0.219,0.194,0.228,0.844,1.022,1.060,
2.183,1.847,1.820,3.950,3.575,3.559,0.328,1.032,0.000,8707,62799,0,70.252,55.179,55.448,0.920,0.906,0.930,10.763,7.757,8.102,0.829,0.812,0.845,6.294,5.685,5.849,0.636,0.624,0.650,3.232,3.632,3.597,0.433,0.428,0.441,1.821,2.227,2.181,0.219,0.211,0.223,0.844,1.011,1.040,
2.183,1.837,1.813,3.950,3.584,3.564,0.328,0.932,0.000,8707,56319,0,70.252,55.270,55.334,0.920,0.908,0.928,10.763,8.007,8.067,0.829,0.802,0.838,6.294,5.736,5.796,0.636,0.604,0.644,3.232,3.472,3.589,0.433,0.413,0.439,1.821,2.117,2.177,0.219,0.165,0.219,0.844,0.826,1.039,
2.183,1.836,1.819,3.950,3.581,3.561,0.328,1.297,0.000,8707,80191,0,70.252,55.307,55.394,0.920,0.899,0.932,10.763,7.909,8.415,0.829,0.805,0.846,6.294,5.784,6.042,0.636,0.614,0.652,3.232,3.612,3.739,0.433,0.431,0.443,1.821,2.246,2.262,0.219,0.228,0.228,0.844,1.074,1.084,
2.183,1.867,1.829,3.950,3.578,3.560,0.328,1.113,0.000,8707,76655,0,70.252,55.258,55.462,0.920,0.902,0.922,10.763,8.134,8.094,0.829,0.807,0.830,6.294,5.775,5.828,0.636,0.613,0.634,3.232,3.535,3.611,0.433,0.427,0.427,1.821,2.202,2.195,0.219,0.176,0.213,0.844,0.879,1.044,
2.183,1.836,1.817,3.950,3.577,3.552,0.328,1.540,0.000,8707,97237,0,70.252,55.217,55.357,0.920,0.890,0.925,10.763,7.642,7.977,0.829,0.821,0.835,6.294,5.846,5.730,0.636,0.607,0.639,3.232,3.477,3.523,0.433,0.394,0.428,1.821,2.059,2.123,0.219,0.221,0.220,0.844,1.068,1.022,
2.183,1.839,1.811,3.950,3.584,3.563,0.328,1.488,0.000,8707,95490,0,70.252,55.277,55.422,0.920,0.904,0.932,10.763,7.807,8.236,0.829,0.784,0.845,6.294,5.552,5.885,0.636,0.606,0.654,3.232,3.506,3.640,0.433,0.380,0.445,1.821,1.932,2.199,0.219,0.231,0.225,0.844,1.080,1.046,
2.183,1.866,1.809,3.950,3.588,3.554,0.328,1.588,0.000,8707,103093,0,70.252,55.264,55.459,0.920,0.903,0.939,10.763,7.891,8.389,0.829,0.777,0.854,6.294,5.456,5.965,0.636,0.543,0.667,3.232,3.188,3.691,0.433,0.417,0.463,1.821,2.136,2.263,0.219,0.151,0.239,0.844,0.805,1.087,
2.183,1.835,1.808,3.950,3.576,3.553,0.328,1.439,0.000,8707,98512,0,70.252,55.280,55.233,0.920,0.896,0.929,10.763,7.744,8.011,0.829,0.819,0.840,6.294,5.922,5.742,0.636,0.592,0.644,3.232,3.422,3.543,0.433,0.432,0.433,1.821,2.208,2.138,0.219,0.188,0.223,0.844,0.948,1.032,
