MAE_QR,MAE_DL,MAE_MULTI,RMSE_QR,RMSE_DL,RMSE_MULTI,C_LOSS_QR,C_LOSS_DL,C_LOSS_MULTI,CROSSES_QR,CROSSES_DL,CROSSES_MULTI,T_LOSS_QR,T_LOSS_DL,T_LOSS_MULTI,ICP_QR,ICP_DL,ICP_MULTI,MIL_QR,MIL_DL,MIL_MULTI,ICP_QR,ICP_DL,ICP_MULTI,MIL_QR,MIL_DL,MIL_MULTI,ICP_QR,ICP_DL,ICP_MULTI,MIL_QR,MIL_DL,MIL_MULTI,ICP_QR,ICP_DL,ICP_MULTI,MIL_QR,MIL_DL,MIL_MULTI,ICP_QR,ICP_DL,ICP_MULTI,MIL_QR,MIL_DL,MIL_MULTI
3.720,3.438,3.366,10.030,9.901,9.885,0.317,1.385,0.000,7749,102562,0,137.003,123.367,123.526,0.914,0.903,0.922,15.176,9.683,10.056,0.826,0.825,0.843,7.521,6.720,6.637,0.634,0.620,0.654,3.526,3.788,3.906,0.433,0.388,0.448,1.943,2.176,2.334,0.218,0.223,0.230,0.891,1.116,1.120,
3.765,3.447,3.426,10.213,10.079,10.071,0.319,1.451,0.000,7871,88683,0,139.182,125.438,125.746,0.913,0.909,0.920,15.033,9.805,9.985,0.824,0.803,0.839,7.478,6.463,6.584,0.633,0.626,0.648,3.519,3.838,3.899,0.432,0.410,0.437,1.938,2.248,2.315,0.218,0.255,0.222,0.888,1.287,1.098,
3.765,3.464,3.425,10.165,10.028,10.016,0.326,1.542,0.000,8017,89708,0,138.914,125.252,125.603,0.913,0.902,0.924,15.094,9.581,10.329,0.824,0.813,0.849,7.502,6.484,6.788,0.633,0.608,0.665,3.523,3.792,4.019,0.432,0.385,0.455,1.942,2.167,2.414,0.219,0.214,0.230,0.890,1.064,1.144,
3.737,3.429,3.387,10.076,9.942,9.929,0.317,1.281,0.000,7747,82647,0,137.758,124.006,124.224,0.913,0.899,0.921,15.080,9.496,10.045,0.825,0.806,0.844,7.487,6.341,6.644,0.633,0.591,0.656,3.520,3.694,3.931,0.432,0.405,0.447,1.940,2.233,2.350,0.219,0.182,0.230,0.889,1.002,1.138,
3.688,3.410,3.338,9.883,9.741,9.733,0.321,0.909,0.000,7929,56039,0,135.625,121.948,122.225,0.914,0.913,0.924,15.069,9.962,10.237,0.825,0.802,0.850,7.479,6.379,6.782,0.634,0.647,0.665,3.520,3.980,4.017,0.433,0.391,0.458,1.941,2.162,2.413,0.219,0.206,0.233,0.890,1.023,1.149,
3.733,3.458,3.404,10.078,9.957,9.940,0.315,1.124,0.000,7762,67504,0,137.753,124.121,124.506,0.914,0.911,0.922,15.147,9.982,10.209,0.825,0.812,0.844,7.485,6.558,6.706,0.633,0.608,0.660,3.515,3.769,3.984,0.432,0.470,0.450,1.936,2.494,2.394,0.218,0.244,0.230,0.888,1.170,1.138,
3.742,3.429,3.397,10.086,9.953,9.942,0.320,0.936,0.000,7854,48924,0,138.026,124.324,124.517,0.914,0.903,0.924,15.090,9.645,10.247,0.825,0.795,0.849,7.483,6.360,6.770,0.634,0.597,0.663,3.514,3.790,4.003,0.432,0.427,0.454,1.936,2.351,2.388,0.219,0.171,0.233,0.888,0.951,1.143,
3.735,3.430,3.390,10.081,9.948,9.941,0.309,1.792,0.000,7680,125328,0,137.632,124.130,124.184,0.914,0.901,0.920,15.169,9.546,9.912,0.826,0.801,0.838,7.500,6.408,6.513,0.634,0.581,0.645,3.524,3.671,3.847,0.433,0.404,0.438,1.939,2.189,2.303,0.218,0.215,0.222,0.887,1.098,1.091,
3.769,3.496,3.440,10.251,10.123,10.112,0.316,1.474,0.000,7826,96383,0,139.483,125.902,126.316,0.914,0.894,0.918,15.154,9.594,9.967,0.824,0.801,0.835,7.491,6.316,6.573,0.633,0.593,0.640,3.522,3.670,3.874,0.433,0.399,0.434,1.940,2.204,2.329,0.219,0.205,0.221,0.890,1.090,1.104,
3.763,3.466,3.426,10.143,10.008,9.997,0.316,1.050,0.000,7781,70062,0,138.843,125.215,125.667,0.913,0.911,0.925,15.213,9.982,10.473,0.825,0.817,0.849,7.522,6.506,6.833,0.634,0.613,0.660,3.527,3.844,4.014,0.432,0.420,0.454,1.939,2.305,2.420,0.218,0.252,0.230,0.888,1.238,1.145,
3.745,3.439,3.397,10.084,9.945,9.936,0.320,0.877,0.000,7845,44480,0,138.243,124.380,124.662,0.913,0.900,0.921,15.029,9.514,10.172,0.825,0.809,0.844,7.486,6.462,6.743,0.633,0.637,0.656,3.522,3.938,3.990,0.432,0.381,0.449,1.940,2.138,2.398,0.219,0.179,0.226,0.889,0.975,1.135,
3.745,3.437,3.400,10.085,9.947,9.937,0.313,1.322,0.000,7768,92828,0,138.013,124.412,124.619,0.914,0.905,0.922,15.192,10.063,10.101,0.825,0.819,0.845,7.510,6.508,6.664,0.633,0.609,0.658,3.524,3.756,3.955,0.432,0.379,0.454,1.943,2.094,2.391,0.219,0.232,0.232,0.890,1.145,1.137,
3.722,3.408,3.378,10.037,9.904,9.894,0.320,1.067,0.000,7982,69862,0,137.273,123.676,123.880,0.914,0.903,0.921,15.195,9.646,9.980,0.825,0.792,0.840,7.513,6.285,6.572,0.634,0.602,0.645,3.524,3.715,3.872,0.432,0.404,0.439,1.940,2.216,2.331,0.218,0.186,0.222,0.889,1.000,1.105,
3.735,3.443,3.382,10.121,9.997,9.980,0.316,0.695,0.000,7833,37241,0,137.625,123.763,124.131,0.915,0.904,0.922,15.179,9.901,10.077,0.826,0.797,0.844,7.514,6.350,6.636,0.635,0.608,0.657,3.527,3.772,3.918,0.434,0.370,0.450,1.943,2.118,2.351,0.219,0.170,0.233,0.890,0.919,1.124,
3.710,3.423,3.362,10.042,9.916,9.904,0.319,1.244,0.000,7860,84915,0,136.692,123.060,123.250,0.914,0.901,0.914,15.080,9.751,9.655,0.826,0.796,0.823,7.494,6.369,6.352,0.634,0.618,0.626,3.518,3.889,3.766,0.432,0.403,0.422,1.937,2.200,2.258,0.219,0.172,0.213,0.888,0.954,1.066,
3.728,3.478,3.389,10.058,9.932,9.916,0.316,1.248,0.000,7830,76671,0,137.445,123.821,124.089,0.914,0.911,0.922,15.143,10.056,10.031,0.826,0.819,0.844,7.498,6.518,6.607,0.633,0.580,0.655,3.516,3.655,3.931,0.431,0.446,0.443,1.936,2.363,2.355,0.218,0.194,0.224,0.887,1.051,1.120,
3.708,3.462,3.370,9.997,9.864,9.850,0.321,1.031,0.000,7960,70415,0,136.466,122.594,123.123,0.915,0.902,0.924,15.174,9.549,10.250,0.826,0.808,0.846,7.513,6.314,6.742,0.634,0.611,0.655,3.524,3.803,3.970,0.433,0.408,0.447,1.942,2.190,2.382,0.219,0.233,0.233,0.889,1.144,1.149,
3.669,3.402,3.334,9.839,9.713,9.693,0.321,0.966,0.000,7926,59524,0,134.987,121.350,121.771,0.915,0.908,0.924,15.118,9.769,10.180,0.826,0.819,0.847,7.484,6.597,6.699,0.634,0.609,0.664,3.521,3.819,3.993,0.433,0.407,0.455,1.939,2.220,2.402,0.219,0.182,0.229,0.889,1.011,1.132,
3.767,3.455,3.421,10.217,10.081,10.069,0.315,0.705,0.000,7714,45061,0,139.274,125.569,125.817,0.914,0.911,0.920,15.150,10.158,9.988,0.825,0.795,0.842,7.483,6.255,6.572,0.632,0.603,0.657,3.514,3.710,3.905,0.432,0.395,0.450,1.937,2.209,2.344,0.218,0.173,0.229,0.889,0.949,1.109,
