MAE_QR,MAE_DL,MAE_MULTI,RMSE_QR,RMSE_DL,RMSE_MULTI,C_LOSS_QR,C_LOSS_DL,C_LOSS_MULTI,CROSSES_QR,CROSSES_DL,CROSSES_MULTI,T_LOSS_QR,T_LOSS_DL,T_LOSS_MULTI,ICP_QR,ICP_DL,ICP_MULTI,MIL_QR,MIL_DL,MIL_MULTI,ICP_QR,ICP_DL,ICP_MULTI,MIL_QR,MIL_DL,MIL_MULTI,ICP_QR,ICP_DL,ICP_MULTI,MIL_QR,MIL_DL,MIL_MULTI,ICP_QR,ICP_DL,ICP_MULTI,MIL_QR,MIL_DL,MIL_MULTI,ICP_QR,ICP_DL,ICP_MULTI,MIL_QR,MIL_DL,MIL_MULTI,ICP_QR,ICP_DL,ICP_MULTI,MIL_QR,MIL_DL,MIL_MULTI,ICP_QR,ICP_DL,ICP_MULTI,MIL_QR,MIL_DL,MIL_MULTI,ICP_QR,ICP_DL,ICP_MULTI,MIL_QR,MIL_DL,MIL_MULTI,ICP_QR,ICP_DL,ICP_MULTI,MIL_QR,MIL_DL,MIL_MULTI
6.164,5.973,5.895,8.800,8.575,8.539,2.506,680.340,0.001,109874,1359859,1696,6109.042,5694.431,5698.655,0.849,0.905,0.903,28.493,25.414,26.293,0.739,0.813,0.807,19.992,18.468,18.751,0.643,0.710,0.711,15.129,14.642,14.470,0.550,0.616,0.608,11.649,12.407,11.414,0.456,0.512,0.505,8.915,9.427,8.994,0.364,0.416,0.405,6.651,7.386,6.926,0.273,0.310,0.305,4.725,5.062,5.071,0.183,0.220,0.205,3.027,3.638,3.314,0.092,0.120,0.104,1.470,1.680,1.637,
6.164,5.949,5.920,8.800,8.527,8.566,2.506,719.702,0.001,109874,1407090,250,6109.042,5702.646,5715.136,0.849,0.908,0.899,28.493,25.465,25.444,0.739,0.801,0.801,19.992,17.926,18.208,0.643,0.687,0.708,15.129,13.837,14.097,0.550,0.579,0.612,11.649,11.497,11.125,0.456,0.519,0.507,8.915,9.561,8.762,0.364,0.417,0.401,6.651,7.545,6.753,0.273,0.288,0.295,4.725,4.910,4.914,0.183,0.249,0.196,3.027,3.899,3.234,0.092,0.115,0.098,1.470,1.735,1.598,
6.164,5.970,5.870,8.800,8.578,8.514,2.506,720.601,0.001,109874,1364759,597,6109.042,5703.550,5705.913,0.849,0.907,0.902,28.493,25.748,25.433,0.739,0.792,0.806,19.992,17.517,18.207,0.643,0.703,0.711,15.129,14.140,14.018,0.550,0.612,0.608,11.649,12.682,11.025,0.456,0.527,0.503,8.915,9.671,8.644,0.364,0.412,0.402,6.651,7.290,6.647,0.273,0.303,0.301,4.725,4.729,4.859,0.183,0.211,0.200,3.027,3.575,3.174,0.092,0.091,0.100,1.470,1.716,1.563,
6.164,5.941,5.905,8.800,8.559,8.491,2.506,705.479,0.005,109874,1387019,6326,6109.042,5700.478,5674.497,0.849,0.904,0.891,28.493,25.008,24.883,0.739,0.818,0.787,19.992,19.377,17.660,0.643,0.709,0.681,15.129,14.541,13.578,0.550,0.604,0.571,11.649,11.765,10.669,0.456,0.503,0.467,8.915,9.137,8.360,0.364,0.403,0.370,6.651,7.218,6.397,0.273,0.314,0.278,4.725,5.211,4.667,0.183,0.196,0.186,3.027,3.194,3.054,0.092,0.131,0.092,1.470,1.955,1.522,
6.164,5.935,5.939,8.800,8.534,8.571,2.506,719.858,0.001,109874,1347248,1207,6109.042,5701.594,5716.335,0.849,0.904,0.884,28.493,25.220,24.098,0.739,0.814,0.777,19.992,18.836,17.180,0.643,0.707,0.673,15.129,14.203,13.255,0.550,0.615,0.564,11.649,11.881,10.422,0.456,0.519,0.456,8.915,9.475,8.171,0.364,0.396,0.354,6.651,6.901,6.280,0.273,0.304,0.260,4.725,5.546,4.572,0.183,0.209,0.171,3.027,3.690,2.969,0.092,0.099,0.083,1.470,1.416,1.462,
6.164,5.963,5.915,8.800,8.579,8.525,2.506,696.427,0.001,109874,1394003,829,6109.042,5707.027,5690.866,0.849,0.892,0.892,28.493,24.803,24.792,0.739,0.811,0.791,19.992,18.683,17.652,0.643,0.722,0.695,15.129,15.463,13.610,0.550,0.605,0.594,11.649,11.525,10.681,0.456,0.515,0.494,8.915,9.447,8.384,0.364,0.422,0.394,6.651,7.787,6.433,0.273,0.337,0.298,4.725,5.383,4.688,0.183,0.232,0.201,3.027,3.952,3.066,0.092,0.125,0.101,1.470,2.276,1.528,
6.164,5.930,5.897,8.800,8.551,8.487,2.506,739.589,0.002,109874,1429507,1744,6109.042,5709.960,5683.507,0.849,0.887,0.901,28.493,23.996,25.814,0.739,0.803,0.803,19.992,18.268,18.409,0.643,0.709,0.705,15.129,14.431,14.211,0.550,0.613,0.599,11.649,11.313,11.202,0.456,0.497,0.495,8.915,9.439,8.795,0.364,0.404,0.392,6.651,7.014,6.742,0.273,0.314,0.294,4.725,5.244,4.905,0.183,0.197,0.197,3.027,3.596,3.211,0.092,0.116,0.100,1.470,1.651,1.584,
6.164,5.908,5.910,8.800,8.533,8.518,2.506,776.265,0.000,109874,1437186,234,6109.042,5705.969,5696.633,0.849,0.901,0.903,28.493,24.996,25.364,0.739,0.797,0.808,19.992,18.258,18.146,0.643,0.703,0.716,15.129,14.348,14.041,0.550,0.623,0.622,11.649,11.652,11.083,0.456,0.499,0.525,8.915,8.880,8.707,0.364,0.408,0.424,6.651,6.997,6.659,0.273,0.346,0.319,4.725,5.444,4.843,0.183,0.199,0.213,3.027,3.405,3.186,0.092,0.091,0.104,1.470,1.610,1.566,
6.164,5.935,5.878,8.800,8.553,8.501,2.506,698.285,0.015,109874,1392932,2580,6109.042,5703.295,5681.151,0.849,0.896,0.898,28.493,24.617,25.464,0.739,0.822,0.799,19.992,19.265,18.171,0.643,0.700,0.698,15.129,14.350,13.988,0.550,0.602,0.589,11.649,11.921,11.018,0.456,0.510,0.485,8.915,9.422,8.647,0.364,0.394,0.387,6.651,6.919,6.610,0.273,0.277,0.289,4.725,4.695,4.831,0.183,0.223,0.192,3.027,3.761,3.139,0.092,0.111,0.096,1.470,1.772,1.554,
6.164,5.922,5.898,8.800,8.527,8.506,2.506,754.756,0.001,109874,1404995,489,6109.042,5716.667,5687.103,0.849,0.907,0.904,28.493,25.165,25.929,0.739,0.803,0.812,19.992,18.492,18.673,0.643,0.705,0.716,15.129,14.505,14.431,0.550,0.621,0.614,11.649,11.289,11.376,0.456,0.508,0.508,8.915,9.760,8.936,0.364,0.392,0.403,6.651,7.089,6.869,0.273,0.310,0.299,4.725,5.445,4.985,0.183,0.233,0.196,3.027,4.435,3.267,0.092,0.127,0.097,1.470,2.409,1.622,
