MAE_QR,MAE_DL,MAE_MULTI,RMSE_QR,RMSE_DL,RMSE_MULTI,C_LOSS_QR,C_LOSS_DL,C_LOSS_MULTI,CROSSES_QR,CROSSES_DL,CROSSES_MULTI,T_LOSS_QR,T_LOSS_DL,T_LOSS_MULTI,ICP_QR,ICP_DL,ICP_MULTI,MIL_QR,MIL_DL,MIL_MULTI,ICP_QR,ICP_DL,ICP_MULTI,MIL_QR,MIL_DL,MIL_MULTI,ICP_QR,ICP_DL,ICP_MULTI,MIL_QR,MIL_DL,MIL_MULTI,ICP_QR,ICP_DL,ICP_MULTI,MIL_QR,MIL_DL,MIL_MULTI,ICP_QR,ICP_DL,ICP_MULTI,MIL_QR,MIL_DL,MIL_MULTI,ICP_QR,ICP_DL,ICP_MULTI,MIL_QR,MIL_DL,MIL_MULTI,ICP_QR,ICP_DL,ICP_MULTI,MIL_QR,MIL_DL,MIL_MULTI
6.164,5.941,5.893,8.800,8.546,8.501,2.058,419.017,0.004,71117,798288,363,4398.092,4064.276,4053.180,0.849,0.908,0.898,28.493,25.276,25.202,0.739,0.819,0.799,19.992,18.764,18.019,0.643,0.699,0.701,15.129,14.599,13.914,0.550,0.619,0.597,11.649,12.032,10.946,0.456,0.526,0.491,8.915,9.545,8.601,0.364,0.427,0.389,6.651,7.376,6.609,0.183,0.204,0.190,3.027,3.347,3.160,
6.164,5.920,5.957,8.800,8.540,8.585,2.058,506.501,0.000,71117,909593,293,4398.092,4065.615,4098.086,0.849,0.893,0.893,28.493,24.165,24.719,0.739,0.790,0.795,19.992,17.647,17.782,0.643,0.717,0.699,15.129,14.699,13.773,0.550,0.604,0.596,11.649,11.229,10.897,0.456,0.527,0.493,8.915,10.001,8.566,0.364,0.423,0.390,6.651,7.058,6.606,0.183,0.208,0.194,3.027,3.028,3.160,
6.164,5.960,5.905,8.800,8.552,8.498,2.058,471.360,0.001,71117,846762,1516,4398.092,4072.173,4057.127,0.849,0.904,0.893,28.493,24.836,25.235,0.739,0.809,0.790,19.992,18.216,18.104,0.643,0.702,0.689,15.129,13.992,13.975,0.550,0.609,0.588,11.649,11.285,11.066,0.456,0.507,0.488,8.915,9.313,8.703,0.364,0.431,0.391,6.651,7.242,6.727,0.183,0.215,0.197,3.027,3.354,3.220,
6.164,5.935,5.931,8.800,8.562,8.541,2.058,461.636,0.001,71117,851590,418,4398.092,4068.578,4070.575,0.849,0.902,0.900,28.493,25.108,25.926,0.739,0.797,0.805,19.992,17.344,18.536,0.643,0.711,0.708,15.129,14.051,14.357,0.550,0.591,0.602,11.649,11.326,11.384,0.456,0.515,0.493,8.915,9.318,8.956,0.364,0.409,0.388,6.651,7.059,6.908,0.183,0.206,0.191,3.027,3.620,3.306,
6.164,5.975,5.909,8.800,8.622,8.505,2.058,464.573,0.000,71117,830505,749,4398.092,4069.327,4058.924,0.849,0.896,0.898,28.493,24.569,25.351,0.739,0.808,0.798,19.992,18.449,18.161,0.643,0.714,0.696,15.129,15.097,14.072,0.550,0.598,0.589,11.649,11.891,11.109,0.456,0.518,0.484,8.915,9.358,8.769,0.364,0.399,0.383,6.651,7.092,6.762,0.183,0.203,0.189,3.027,3.401,3.255,
6.164,5.994,5.935,8.800,8.630,8.589,2.058,504.950,0.001,71117,873776,1098,4398.092,4085.523,4090.073,0.849,0.906,0.894,28.493,25.591,25.176,0.739,0.818,0.797,19.992,19.085,18.110,0.643,0.698,0.697,15.129,14.283,14.056,0.550,0.617,0.591,11.649,11.712,11.127,0.456,0.518,0.488,8.915,9.686,8.769,0.364,0.414,0.387,6.651,7.780,6.745,0.183,0.234,0.190,3.027,4.039,3.210,
6.164,5.916,5.890,8.800,8.521,8.516,2.058,447.248,0.000,71117,819682,599,4398.092,4065.943,4065.621,0.849,0.896,0.889,28.493,24.319,23.799,0.739,0.810,0.786,19.992,18.389,17.044,0.643,0.699,0.682,15.129,14.278,13.182,0.550,0.580,0.571,11.649,11.001,10.413,0.456,0.490,0.466,8.915,8.713,8.211,0.364,0.413,0.364,6.651,7.782,6.350,0.183,0.199,0.180,3.027,3.617,3.034,
6.164,5.941,5.999,8.800,8.543,8.631,2.058,482.085,0.001,71117,880285,976,4398.092,4066.924,4114.551,0.849,0.903,0.887,28.493,25.327,24.210,0.739,0.795,0.782,19.992,17.958,17.325,0.643,0.696,0.682,15.129,14.668,13.395,0.550,0.616,0.580,11.649,12.228,10.553,0.456,0.509,0.478,8.915,9.635,8.306,0.364,0.426,0.381,6.651,7.232,6.428,0.183,0.216,0.188,3.027,3.667,3.090,
6.164,5.948,5.940,8.800,8.576,8.530,2.058,442.404,0.002,71117,832908,466,4398.092,4070.201,4072.811,0.849,0.901,0.891,28.493,25.092,24.793,0.739,0.810,0.789,19.992,18.457,17.777,0.643,0.709,0.686,15.129,14.321,13.788,0.550,0.617,0.579,11.649,11.688,10.899,0.456,0.534,0.475,8.915,9.651,8.596,0.364,0.412,0.375,6.651,6.874,6.609,0.183,0.212,0.186,3.027,3.149,3.156,
6.164,5.952,5.874,8.800,8.621,8.533,2.058,488.184,0.001,71117,907703,522,4398.092,4067.062,4071.964,0.849,0.904,0.890,28.493,25.523,24.483,0.739,0.782,0.787,19.992,17.333,17.497,0.643,0.684,0.686,15.129,14.320,13.475,0.550,0.597,0.576,11.649,11.221,10.608,0.456,0.503,0.470,8.915,9.504,8.349,0.364,0.443,0.371,6.651,7.761,6.411,0.183,0.193,0.184,3.027,3.405,3.073,
