MAE_QR,MAE_DL,MAE_MULTI,RMSE_QR,RMSE_DL,RMSE_MULTI,C_LOSS_QR,C_LOSS_DL,C_LOSS_MULTI,CROSSES_QR,CROSSES_DL,CROSSES_MULTI,T_LOSS_QR,T_LOSS_DL,T_LOSS_MULTI,ICP_QR,ICP_DL,ICP_MULTI,MIL_QR,MIL_DL,MIL_MULTI,ICP_QR,ICP_DL,ICP_MULTI,MIL_QR,MIL_DL,MIL_MULTI,ICP_QR,ICP_DL,ICP_MULTI,MIL_QR,MIL_DL,MIL_MULTI,ICP_QR,ICP_DL,ICP_MULTI,MIL_QR,MIL_DL,MIL_MULTI,ICP_QR,ICP_DL,ICP_MULTI,MIL_QR,MIL_DL,MIL_MULTI
6.164,5.970,5.874,8.800,8.594,8.524,1.577,130.077,0.000,35836,245010,441,3078.871,2854.903,2856.107,0.849,0.890,0.899,28.493,24.504,25.427,0.739,0.804,0.803,19.992,18.152,18.348,0.550,0.609,0.596,11.649,11.436,11.232,0.364,0.412,0.383,6.651,7.341,6.830,0.183,0.180,0.189,3.027,3.241,3.271,
6.164,5.921,5.897,8.800,8.535,8.503,1.577,185.082,0.006,35836,331999,741,3078.871,2845.281,2849.039,0.849,0.890,0.896,28.493,24.280,25.318,0.739,0.804,0.797,19.992,18.088,18.193,0.550,0.624,0.591,11.649,11.748,11.119,0.364,0.399,0.384,6.651,6.962,6.730,0.183,0.194,0.190,3.027,3.610,3.199,
6.164,5.973,5.861,8.800,8.559,8.464,1.577,142.850,0.000,35836,276160,149,3078.871,2849.800,2850.669,0.849,0.902,0.902,28.493,25.760,25.803,0.739,0.813,0.808,19.992,18.802,18.537,0.550,0.609,0.615,11.649,11.963,11.347,0.364,0.417,0.411,6.651,7.175,6.838,0.183,0.211,0.208,3.027,3.509,3.271,
6.164,5.899,5.857,8.800,8.534,8.463,1.577,134.335,0.000,35836,273412,40,3078.871,2856.949,2844.520,0.849,0.901,0.907,28.493,25.427,26.368,0.739,0.799,0.815,19.992,18.196,18.891,0.550,0.622,0.628,11.649,11.917,11.480,0.364,0.427,0.425,6.651,7.573,6.915,0.183,0.238,0.212,3.027,3.588,3.303,
6.164,5.978,5.893,8.800,8.594,8.490,1.577,178.194,0.000,35836,282506,73,3078.871,2859.119,2849.115,0.849,0.900,0.896,28.493,24.508,25.256,0.739,0.805,0.798,19.992,18.187,17.989,0.550,0.614,0.604,11.649,11.587,10.867,0.364,0.429,0.406,6.651,7.631,6.540,0.183,0.200,0.206,3.027,3.492,3.116,
6.164,5.952,5.879,8.800,8.600,8.477,1.577,160.406,0.000,35836,287890,29,3078.871,2855.816,2841.515,0.849,0.902,0.892,28.493,25.338,24.420,0.739,0.821,0.793,19.992,18.786,17.392,0.550,0.607,0.602,11.649,11.053,10.488,0.364,0.403,0.405,6.651,7.256,6.310,0.183,0.215,0.207,3.027,3.711,3.014,
6.164,5.986,5.907,8.800,8.595,8.513,1.577,195.031,0.000,35836,307810,171,3078.871,2851.673,2854.152,0.849,0.900,0.889,28.493,24.749,24.487,0.739,0.803,0.785,19.992,18.034,17.523,0.550,0.615,0.573,11.649,12.243,10.696,0.364,0.394,0.357,6.651,6.884,6.451,0.183,0.213,0.173,3.027,3.681,3.081,
6.164,5.947,5.901,8.800,8.559,8.491,1.577,148.655,0.000,35836,257207,99,3078.871,2858.840,2851.222,0.849,0.907,0.891,28.493,25.665,24.583,0.739,0.806,0.792,19.992,18.484,17.581,0.550,0.615,0.599,11.649,11.710,10.725,0.364,0.412,0.391,6.651,7.473,6.521,0.183,0.204,0.187,3.027,3.531,3.137,
6.164,5.975,5.901,8.800,8.604,8.554,1.577,165.486,0.000,35836,268122,177,3078.871,2848.948,2863.545,0.849,0.903,0.891,28.493,25.282,24.805,0.739,0.798,0.790,19.992,18.694,17.737,0.550,0.613,0.591,11.649,12.129,10.814,0.364,0.409,0.386,6.651,6.867,6.510,0.183,0.202,0.192,3.027,3.802,3.114,
6.164,5.963,5.922,8.800,8.608,8.538,1.577,150.798,0.000,35836,265538,211,3078.871,2846.907,2858.130,0.849,0.911,0.906,28.493,26.092,26.022,0.739,0.808,0.813,19.992,18.557,18.663,0.550,0.609,0.620,11.649,11.985,11.456,0.364,0.392,0.412,6.651,6.676,6.902,0.183,0.194,0.203,3.027,3.456,3.286,
