MAE_MC,RMSE_MC,C_LOSS_MC,CROSSES_MC,T_LOSS_MC,ICP_MC,MIL_MC,ICP_MC,MIL_MC,ICP_MC,MIL_MC,ICP_MC,MIL_MC,ICP_MC,MIL_MC
5.992,8.580,0.000,0,3854.489,0.229,3.745,0.187,2.918,0.132,1.916,0.085,1.194,0.042,0.577
5.999,8.615,0.000,0,3873.165,0.227,3.604,0.185,2.808,0.129,1.844,0.085,1.149,0.042,0.555
5.964,8.611,0.000,0,3864.229,0.228,3.461,0.185,2.697,0.127,1.771,0.081,1.104,0.039,0.533
5.899,8.534,0.000,0,3714.487,0.260,4.652,0.210,3.625,0.145,2.380,0.094,1.483,0.046,0.717
5.919,8.559,0.000,0,3755.490,0.263,4.218,0.211,3.286,0.144,2.158,0.090,1.345,0.043,0.650
5.937,8.597,0.000,0,3820.890,0.244,3.677,0.198,2.865,0.139,1.882,0.090,1.172,0.044,0.566
5.992,8.589,0.000,0,3841.474,0.233,3.891,0.191,3.032,0.135,1.991,0.089,1.240,0.045,0.599
6.037,8.679,0.000,0,3858.625,0.250,4.007,0.205,3.122,0.144,2.050,0.090,1.277,0.044,0.617
5.969,8.626,0.000,0,3885.539,0.215,3.303,0.170,2.573,0.113,1.690,0.070,1.053,0.033,0.509
5.913,8.521,0.000,0,3812.284,0.229,3.629,0.186,2.827,0.129,1.857,0.084,1.157,0.041,0.559
5.983,8.633,0.000,0,3919.730,0.199,3.101,0.161,2.416,0.112,1.587,0.074,0.989,0.037,0.478
6.039,8.701,0.000,0,3918.797,0.234,3.425,0.187,2.668,0.125,1.752,0.078,1.092,0.037,0.527
6.056,8.658,0.000,0,3906.842,0.223,3.666,0.181,2.856,0.123,1.876,0.076,1.169,0.036,0.565
5.913,8.535,0.000,0,3807.506,0.228,3.678,0.181,2.865,0.122,1.882,0.076,1.173,0.036,0.566
6.040,8.683,0.000,0,3920.909,0.229,3.426,0.188,2.670,0.133,1.753,0.088,1.092,0.044,0.528
5.967,8.568,0.000,0,3839.407,0.237,3.718,0.193,2.897,0.136,1.903,0.089,1.185,0.045,0.573
5.984,8.597,0.000,0,3835.098,0.240,3.860,0.195,3.008,0.135,1.975,0.088,1.231,0.044,0.595
5.946,8.551,0.000,0,3823.685,0.241,3.745,0.196,2.918,0.138,1.916,0.091,1.194,0.045,0.577
5.934,8.573,0.000,0,3803.663,0.232,3.894,0.187,3.034,0.128,1.993,0.081,1.242,0.039,0.600
5.978,8.642,0.000,0,3848.482,0.236,3.690,0.190,2.875,0.130,1.888,0.083,1.176,0.040,0.568
5.878,8.497,0.000,0,3781.888,0.238,3.688,0.194,2.873,0.136,1.887,0.089,1.176,0.045,0.568
5.963,8.610,0.000,0,3880.556,0.217,3.313,0.177,2.581,0.123,1.695,0.078,1.056,0.038,0.510
6.014,8.693,0.000,0,3878.745,0.240,3.640,0.193,2.836,0.133,1.863,0.085,1.161,0.041,0.561
5.901,8.508,0.000,0,3689.881,0.282,4.820,0.229,3.755,0.159,2.466,0.101,1.537,0.048,0.742
5.968,8.619,0.000,0,3774.738,0.251,4.409,0.196,3.435,0.126,2.256,0.077,1.406,0.037,0.679
5.904,8.555,0.000,0,3802.909,0.225,3.660,0.180,2.852,0.122,1.873,0.076,1.167,0.037,0.564
5.967,8.579,0.000,0,3827.748,0.244,3.827,0.195,2.981,0.131,1.958,0.082,1.220,0.040,0.589
5.997,8.615,0.000,0,3875.076,0.234,3.565,0.192,2.778,0.136,1.824,0.089,1.137,0.044,0.549
5.964,8.571,0.000,0,3860.590,0.220,3.530,0.179,2.751,0.124,1.806,0.081,1.125,0.040,0.544
5.993,8.606,0.000,0,3887.115,0.220,3.454,0.180,2.691,0.123,1.767,0.076,1.101,0.036,0.532
