MAE_QR,MAE_DL,MAE_MULTI,RMSE_QR,RMSE_DL,RMSE_MULTI,C_LOSS_QR,C_LOSS_DL,C_LOSS_MULTI,CROSSES_QR,CROSSES_DL,CROSSES_MULTI,T_LOSS_QR,T_LOSS_DL,T_LOSS_MULTI,ICP_QR,ICP_DL,ICP_MULTI,MIL_QR,MIL_DL,MIL_MULTI,ICP_QR,ICP_DL,ICP_MULTI,MIL_QR,MIL_DL,MIL_MULTI,ICP_QR,ICP_DL,ICP_MULTI,MIL_QR,MIL_DL,MIL_MULTI,ICP_QR,ICP_DL,ICP_MULTI,MIL_QR,MIL_DL,MIL_MULTI,ICP_QR,ICP_DL,ICP_MULTI,MIL_QR,MIL_DL,MIL_MULTI
9.159,8.330,8.262,17.322,16.722,16.661,10.178,140.870,0.019,21877,230639,4390,4931.465,4437.606,4441.461,0.900,0.899,0.888,39.917,32.206,30.336,0.764,0.800,0.779,25.824,20.649,19.823,0.551,0.612,0.568,14.087,12.401,11.256,0.365,0.393,0.360,7.817,7.554,6.580,0.182,0.191,0.180,3.485,3.607,3.116,
9.153,8.306,8.292,17.296,16.652,16.646,9.118,111.661,0.012,19926,205119,178,4927.289,4442.713,4447.692,0.901,0.899,0.901,40.156,31.945,33.431,0.763,0.801,0.807,25.998,20.880,21.901,0.551,0.594,0.616,14.134,12.159,12.527,0.366,0.408,0.399,7.837,7.683,7.347,0.183,0.210,0.195,3.488,3.687,3.445,
9.136,8.360,8.299,17.205,16.609,16.552,10.295,144.402,0.008,20710,263660,128,4918.668,4435.722,4446.755,0.901,0.893,0.900,39.670,29.967,32.770,0.765,0.816,0.808,25.780,21.618,21.694,0.553,0.579,0.623,14.014,11.953,12.515,0.365,0.403,0.427,7.811,7.671,7.351,0.183,0.227,0.215,3.471,4.158,3.478,
9.095,8.293,8.290,17.141,16.516,16.541,10.449,169.900,0.004,21071,257549,3602,4900.622,4435.151,4463.092,0.900,0.887,0.886,39.570,30.102,30.702,0.766,0.803,0.782,25.715,20.774,20.186,0.555,0.627,0.567,14.013,13.171,11.515,0.365,0.395,0.364,7.751,7.450,6.767,0.183,0.199,0.183,3.476,4.099,3.211,
9.070,8.251,8.200,17.133,16.526,16.482,9.539,126.711,0.000,20731,223755,72,4882.847,4402.761,4402.224,0.900,0.902,0.899,39.845,32.029,32.258,0.764,0.806,0.808,25.885,20.859,21.467,0.553,0.601,0.623,14.094,12.300,12.350,0.366,0.399,0.422,7.811,7.607,7.261,0.183,0.199,0.210,3.469,3.552,3.427,
9.246,8.372,8.334,17.416,16.754,16.734,11.438,130.791,0.003,21138,208944,424,4982.591,4481.097,4487.803,0.899,0.901,0.895,39.556,31.498,31.988,0.764,0.805,0.798,25.661,21.194,21.213,0.550,0.615,0.606,14.045,12.567,12.268,0.364,0.424,0.402,7.795,7.692,7.264,0.182,0.196,0.204,3.494,3.411,3.433,
9.159,8.326,8.219,17.276,16.669,16.599,10.362,146.435,0.008,21680,225735,2662,4927.841,4446.428,4437.117,0.900,0.895,0.888,39.660,30.696,30.890,0.763,0.803,0.785,25.764,20.820,20.412,0.554,0.611,0.579,14.064,12.603,11.792,0.365,0.416,0.371,7.800,7.695,7.018,0.183,0.188,0.185,3.493,3.329,3.304,
9.134,8.300,8.222,17.279,16.659,16.632,9.861,151.342,0.001,20079,271188,460,4917.209,4438.472,4434.614,0.900,0.895,0.893,39.796,31.251,31.106,0.759,0.802,0.798,25.941,20.448,20.799,0.554,0.603,0.601,14.088,12.783,12.153,0.365,0.399,0.395,7.846,6.902,7.154,0.182,0.193,0.197,3.487,3.582,3.402,
9.269,8.432,8.374,17.494,16.872,16.817,11.010,138.121,0.002,20922,230721,195,4998.099,4494.697,4514.935,0.899,0.897,0.895,39.644,31.550,31.929,0.766,0.801,0.797,25.787,20.860,21.027,0.551,0.608,0.608,14.066,12.936,12.077,0.364,0.389,0.412,7.821,7.608,7.078,0.181,0.195,0.211,3.485,3.340,3.350,
9.125,8.297,8.248,17.206,16.563,16.566,10.600,184.219,0.001,19440,274310,485,4914.358,4431.074,4449.682,0.901,0.892,0.897,39.775,30.787,31.767,0.760,0.787,0.801,25.886,19.890,20.929,0.552,0.602,0.609,14.091,12.451,12.133,0.365,0.403,0.401,7.806,7.494,7.199,0.181,0.227,0.201,3.470,4.360,3.390,
9.087,8.242,8.201,17.153,16.494,16.497,8.949,153.158,0.001,19217,262568,44,4888.325,4409.716,4428.521,0.900,0.897,0.899,40.143,31.824,33.233,0.765,0.793,0.805,26.030,20.645,21.932,0.555,0.624,0.614,14.137,13.095,12.507,0.367,0.394,0.402,7.841,7.526,7.329,0.184,0.218,0.198,3.497,3.922,3.474,
9.125,8.355,8.245,17.125,16.554,16.480,10.084,154.558,0.001,21590,253969,178,4912.671,4432.813,4439.263,0.900,0.896,0.894,39.702,30.645,31.883,0.767,0.798,0.797,25.815,20.249,20.959,0.555,0.604,0.599,14.070,12.670,12.010,0.366,0.403,0.383,7.823,8.003,7.044,0.182,0.221,0.190,3.491,3.921,3.350,
9.182,8.334,8.257,17.391,16.742,16.708,10.814,134.169,0.000,21077,255812,189,4944.074,4441.887,4444.540,0.900,0.892,0.897,39.742,30.931,31.934,0.768,0.790,0.802,25.904,19.971,21.166,0.550,0.600,0.615,14.114,12.358,12.246,0.364,0.382,0.415,7.806,7.286,7.280,0.183,0.217,0.206,3.478,3.912,3.421,
9.115,8.274,8.309,17.151,16.483,16.506,10.896,156.815,0.009,20230,258331,445,4906.749,4425.789,4434.336,0.901,0.898,0.891,39.799,31.437,31.027,0.765,0.805,0.787,25.840,20.846,20.447,0.553,0.604,0.587,14.095,12.871,11.803,0.366,0.417,0.385,7.817,7.737,6.942,0.183,0.210,0.193,3.477,3.457,3.276,
9.154,8.322,8.283,17.221,16.589,16.570,10.545,131.286,0.010,20184,231047,110,4928.872,4450.874,4454.095,0.900,0.905,0.902,39.906,32.341,33.217,0.760,0.806,0.816,25.855,20.839,22.328,0.552,0.595,0.636,14.108,11.904,12.987,0.365,0.420,0.437,7.841,7.548,7.657,0.182,0.203,0.219,3.480,3.834,3.640,
9.124,8.241,8.208,17.124,16.473,16.438,9.553,127.791,0.001,19910,217448,135,4906.657,4433.454,4410.242,0.901,0.899,0.901,39.743,31.413,32.767,0.760,0.802,0.810,25.824,20.759,21.741,0.551,0.602,0.620,14.073,12.751,12.634,0.365,0.411,0.409,7.791,8.158,7.499,0.183,0.195,0.203,3.483,3.593,3.533,
9.078,8.270,8.232,17.082,16.494,16.447,9.463,143.538,0.003,19543,246412,1257,4878.864,4411.133,4417.268,0.901,0.898,0.883,39.909,31.519,30.007,0.763,0.808,0.777,25.924,20.891,19.716,0.554,0.605,0.572,14.096,12.491,11.267,0.367,0.409,0.366,7.802,8.146,6.600,0.183,0.202,0.184,3.469,3.782,3.131,
